Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount %,Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,22/09/2025,25/09/2025,CUST978,Elizabeth Salinas,Home office,PROD8256,File Folder,Office Supplies,East,Louisiana,Martinezport,6,3076,20,14764.8,11913.76,2851.04,Credit card,Returned,Wheeler-Sanchez,bryan93@johnson.org,14,No,0
ORD1001,22/10/2024,25/10/2024,CUST523,Samuel Roberts,Corporate,PROD5073,Table,Furniture,North,Kentucky,Port Williambury,5,1314,0,6570,5223.59,1346.41,UPI,Returned,Hammond-Maldonado,baileytaylor@stafford-mayer.net,12,No,0
ORD1002,13/02/2024,17/02/2024,CUST992,Emma Nolan,Home office,PROD9246,Dining table,Furniture,South,Delaware,Port Gabriella,5,437,10,1966.5,1588.19,378.31,Credit card,Delivered,"Norris, French and Ferguson",vhughes@haney-avila.info,20,No,0
ORD1003,16/06/2024,22/06/2024,CUST779,Eric Harrison,Consumer,PROD4171,Monitor,Electronics,South,Alaska,Ashleyland,9,4265,20,30708,20213.12,10494.88,Pay check,Pending,Wu-Zavala,robertsonashley@nguyen-marshall.org,48,No,0
ORD1004,12/12/2024,19/12/2024,CUST176,Katelyn Yates,Corporate,PROD1236,Stapler,Office Supplies,West,Texas,Phelpsstad,3,3383,10,9134.1,7392.55,1741.55,Pay check,Delivered,Atkins PLC,richardwarner@walters-sanchez.info,18,No,0
ORD1005,15/06/2024,17/06/2024,CUST569,Nancy Jacobs,Consumer,PROD8387,Kettle,Electronics,North,Nebraska,Waterschester,5,4932,0,24660,21955.7,2704.3,Credit card,Cancelled,Marshall-Wood,michellecarey@hill.com,33,No,0
ORD1006,11/04/2024,16/04/2024,CUST847,Andrew Kramer,Corporate,PROD4623,File Folder,Office Supplies,West,Montana,New Roberto,9,4655,5,39800.25,29082.9,10717.35,Pay check,Returned,Graves Ltd,lisa22@flores-oneal.com,33,No,0
ORD1007,28/06/2024,02/07/2024,CUST437,Matthew Moss,Home office,PROD2873,Sofa,Furniture,West,Maryland,Tarafort,7,1554,15,9246.3,6818.78,2427.52,Credit card,Cancelled,Lucas-David,margaretmoss@gonzalez.com,10,No,0
ORD1008,10/10/2025,15/10/2025,CUST510,Ronald Haynes,Corporate,PROD4157,Protein,Grocery,West,Delaware,Ralphport,1,977,20,781.6,621.8,159.8,Credit card,Delivered,Serrano-Hancock,gabrielsmith@sanchez.com,2,Yes,23
ORD1009,11/02/2024,12/02/2024,CUST367,Michael Harris,Home office,PROD7790,Charger,Electronics,North,Arkansas,North Nichole,9,795,0,7155,4894.66,2260.34,UPI,Pending,Reed Inc,ghanna@sutton.net,33,No,0
